가입일자,사용자코드,연령대코드,성별,가입 수
2020-12-23,USR_001,AGE_008,M,3
2020-12-24,USR_001,AGE_001,F,87
2020-12-24,USR_001,AGE_001,M,98
2020-12-24,USR_001,AGE_002,F,71
2020-12-24,USR_001,AGE_002,M,110
2020-12-24,USR_001,AGE_003,F,38
2020-12-24,USR_001,AGE_003,M,72
2020-12-24,USR_001,AGE_004,F,44
2020-12-24,USR_001,AGE_004,M,36
2020-12-24,USR_001,AGE_005,F,20
2020-12-24,USR_001,AGE_005,M,29
2020-12-24,USR_001,AGE_006,F,4
2020-12-24,USR_001,AGE_006,M,9
2020-12-24,USR_001,AGE_007,M,1
2020-12-24,USR_001,AGE_008,M,1
2020-12-25,USR_001,AGE_001,F,102
2020-12-25,USR_001,AGE_001,M,163
2020-12-25,USR_001,AGE_002,F,128
2020-12-25,USR_001,AGE_002,M,137
2020-12-25,USR_001,AGE_003,F,83
2020-12-25,USR_001,AGE_003,M,84
2020-12-25,USR_001,AGE_004,F,69
2020-12-25,USR_001,AGE_004,M,88
2020-12-25,USR_001,AGE_005,F,33
2020-12-25,USR_001,AGE_005,M,46
2020-12-25,USR_001,AGE_006,F,9
2020-12-25,USR_001,AGE_006,M,19
2020-12-25,USR_001,AGE_007,F,4
2020-12-25,USR_001,AGE_007,M,3
2020-12-25,USR_001,AGE_008,F,2
2020-12-26,USR_001,AGE_001,F,121
2020-12-26,USR_001,AGE_001,M,135
2020-12-26,USR_001,AGE_002,F,179
2020-12-26,USR_001,AGE_002,M,222
2020-12-26,USR_001,AGE_003,F,106
2020-12-26,USR_001,AGE_003,M,151
2020-12-26,USR_001,AGE_004,F,100
2020-12-26,USR_001,AGE_004,M,134
2020-12-26,USR_001,AGE_005,F,46
2020-12-26,USR_001,AGE_005,M,57
2020-12-26,USR_001,AGE_006,F,9
2020-12-26,USR_001,AGE_006,M,27
2020-12-26,USR_001,AGE_007,F,2
2020-12-26,USR_001,AGE_007,M,1
2020-12-27,USR_001,AGE_001,F,117
2020-12-27,USR_001,AGE_001,M,138
2020-12-27,USR_001,AGE_002,F,197
2020-12-27,USR_001,AGE_002,M,220
2020-12-27,USR_001,AGE_003,F,124
2020-12-27,USR_001,AGE_003,M,177
2020-12-27,USR_001,AGE_004,F,122
2020-12-27,USR_001,AGE_004,M,179
2020-12-27,USR_001,AGE_005,F,71
2020-12-27,USR_001,AGE_005,M,62
2020-12-27,USR_001,AGE_006,F,14
2020-12-27,USR_001,AGE_006,M,20
2020-12-27,USR_001,AGE_007,F,1
2020-12-27,USR_001,AGE_007,M,2
2020-12-27,USR_001,AGE_008,M,1
2020-12-28,USR_001,AGE_001,F,134
2020-12-28,USR_001,AGE_001,M,130
2020-12-28,USR_001,AGE_002,F,198
2020-12-28,USR_001,AGE_002,M,174
2020-12-28,USR_001,AGE_003,F,70
2020-12-28,USR_001,AGE_003,M,106
2020-12-28,USR_001,AGE_004,F,68
2020-12-28,USR_001,AGE_004,M,67
2020-12-28,USR_001,AGE_005,F,34
2020-12-28,USR_001,AGE_005,M,61
2020-12-28,USR_001,AGE_006,F,8
2020-12-28,USR_001,AGE_006,M,19
2020-12-28,USR_001,AGE_007,M,1
2020-12-28,USR_001,AGE_008,F,1
2020-12-28,USR_001,AGE_008,M,1
2020-12-29,USR_001,AGE_001,F,74
2020-12-29,USR_001,AGE_001,M,73
2020-12-29,USR_001,AGE_002,F,71
2020-12-29,USR_001,AGE_002,M,107
2020-12-29,USR_001,AGE_003,F,37
2020-12-29,USR_001,AGE_003,M,74
2020-12-29,USR_001,AGE_004,F,32
2020-12-29,USR_001,AGE_004,M,41
2020-12-29,USR_001,AGE_005,F,24
2020-12-29,USR_001,AGE_005,M,23
2020-12-29,USR_001,AGE_006,F,6
2020-12-29,USR_001,AGE_006,M,10
2020-12-29,USR_001,AGE_007,F,2
2020-12-29,USR_001,AGE_007,M,1
2020-12-29,USR_001,AGE_008,F,1
2020-12-29,USR_001,AGE_008,M,6
2020-12-30,USR_001,AGE_001,F,47
2020-12-30,USR_001,AGE_001,M,36
2020-12-30,USR_001,AGE_002,F,42
2020-12-30,USR_001,AGE_002,M,58
2020-12-30,USR_001,AGE_003,F,25
2020-12-30,USR_001,AGE_003,M,30
2020-12-30,USR_001,AGE_004,F,20
2020-12-30,USR_001,AGE_004,M,18
