'대여일자','사용자코드','성별','연령대코드','신규가입자수'
'2018-02-08','회원-내국인','F','~10대',4
'2018-02-08','회원-내국인','M','~10대',3
'2018-02-08','회원-내국인','F','20대',37
'2018-02-08','회원-내국인','M','20대',38
'2018-02-08','회원-내국인','F','30대',18
'2018-02-08','회원-내국인','M','30대',22
'2018-02-08','회원-내국인','F','40대',2
'2018-02-08','회원-내국인','M','40대',8
'2018-02-08','회원-내국인','F','50대',4
'2018-02-08','회원-내국인','M','50대',9
'2018-02-08','회원-내국인','F','60대',1
'2018-02-08','회원-내국인','M','60대',2
'2018-02-08','회원-내국인','F','70대~',1
'2018-02-08','회원-내국인','M','70대~',1
'2018-02-09','회원-내국인','F','~10대',4
'2018-02-09','회원-내국인','M','~10대',1
'2018-02-09','회원-내국인','F','20대',39
'2018-02-09','회원-내국인','M','20대',34
'2018-02-09','회원-내국인','F','30대',13
'2018-02-09','회원-내국인','M','30대',24
'2018-02-09','회원-내국인','F','40대',4
'2018-02-09','회원-내국인','M','40대',15
'2018-02-09','회원-내국인','F','50대',5
'2018-02-09','회원-내국인','M','50대',4
'2018-02-09','회원-내국인','M','60대',2
'2018-02-09','회원-내국인','M','70대~',2
'2018-02-10','회원-내국인','F','~10대',7
'2018-02-10','회원-내국인','M','~10대',5
'2018-02-10','회원-내국인','F','20대',29
'2018-02-10','회원-내국인','M','20대',47
'2018-02-10','회원-내국인','F','30대',15
'2018-02-10','회원-내국인','M','30대',28
'2018-02-10','회원-내국인','F','40대',7
'2018-02-10','회원-내국인','M','40대',15
'2018-02-10','회원-내국인','F','50대',5
'2018-02-10','회원-내국인','M','50대',11
'2018-02-11','회원-내국인','M','~10대',4
'2018-02-11','회원-내국인','F','20대',30
'2018-02-11','회원-내국인','M','20대',14
'2018-02-11','회원-내국인','F','30대',12
'2018-02-11','회원-내국인','M','30대',20
'2018-02-11','회원-내국인','F','40대',6
'2018-02-11','회원-내국인','M','40대',9
'2018-02-11','회원-내국인','F','50대',3
