가입일자,사용자코드,연령대코드,성별,가입 수
2020-10-21,USR_001,AGE_003,F, 156 
2020-10-21,USR_001,AGE_003,M, 174 
2020-10-21,USR_001,AGE_004,F, 94 
2020-10-21,USR_001,AGE_004,M, 122 
2020-10-21,USR_001,AGE_005,F, 59 
2020-10-21,USR_001,AGE_005,M, 63 
2020-10-21,USR_001,AGE_006,F, 8 
2020-10-21,USR_001,AGE_006,M, 25 
2020-10-21,USR_001,AGE_007,M, 2 
2020-10-21,USR_001,AGE_008,," 3,494 "
2020-10-21,USR_001,AGE_008,F, 1 
2020-10-22,USR_001,AGE_001,F, 118 
2020-10-22,USR_001,AGE_001,M, 119 
2020-10-22,USR_001,AGE_002,F, 290 
2020-10-22,USR_001,AGE_002,M, 298 
2020-10-22,USR_001,AGE_003,F, 116 
2020-10-22,USR_001,AGE_003,M, 148 
2020-10-22,USR_001,AGE_004,F, 70 
2020-10-22,USR_001,AGE_004,M, 108 
2020-10-22,USR_001,AGE_005,F, 45 
2020-10-22,USR_001,AGE_005,M, 69 
2020-10-22,USR_001,AGE_006,F, 7 
2020-10-22,USR_001,AGE_006,M, 22 
2020-10-22,USR_001,AGE_007,F, 3 
2020-10-22,USR_001,AGE_007,M, 4 
2020-10-22,USR_001,AGE_008,," 3,265 "
2020-10-23,USR_001,AGE_001,F, 106 
2020-10-23,USR_001,AGE_001,M, 137 
2020-10-23,USR_001,AGE_002,F, 222 
2020-10-23,USR_001,AGE_002,M, 275 
2020-10-23,USR_001,AGE_003,F, 136 
2020-10-23,USR_001,AGE_003,M, 119 
2020-10-23,USR_001,AGE_004,F, 96 
2020-10-23,USR_001,AGE_004,M, 108 
2020-10-23,USR_001,AGE_005,F, 40 
2020-10-23,USR_001,AGE_005,M, 49 
2020-10-23,USR_001,AGE_006,F, 9 
2020-10-23,USR_001,AGE_006,M, 18 
2020-10-23,USR_001,AGE_007,M, 1 
2020-10-23,USR_001,AGE_008,," 2,208 "
2020-10-23,USR_001,AGE_008,M, 2 
2020-10-24,USR_001,AGE_001,F, 264 
2020-10-24,USR_001,AGE_001,M, 231 
2020-10-24,USR_001,AGE_002,F, 539 
2020-10-24,USR_001,AGE_002,M, 544 
2020-10-24,USR_001,AGE_003,F, 260 
2020-10-24,USR_001,AGE_003,M, 266 
2020-10-24,USR_001,AGE_004,F, 179 
2020-10-24,USR_001,AGE_004,M, 172 
2020-10-24,USR_001,AGE_005,F, 74 
2020-10-24,USR_001,AGE_005,M, 65 
2020-10-24,USR_001,AGE_006,F, 21 
2020-10-24,USR_001,AGE_006,M, 15 
2020-10-24,USR_001,AGE_007,F, 5 
2020-10-24,USR_001,AGE_007,M, 2 
2020-10-24,USR_001,AGE_008,," 2,433 "
2020-10-24,USR_001,AGE_008,F, 1 
2020-10-24,USR_001,AGE_008,M, 2 
2020-10-25,USR_001,AGE_001,F, 209 
2020-10-25,USR_001,AGE_001,M, 224 
2020-10-25,USR_001,AGE_002,F, 606 
2020-10-25,USR_001,AGE_002,M, 573 
2020-10-25,USR_001,AGE_003,F, 282 
2020-10-25,USR_001,AGE_003,M, 356 
2020-10-25,USR_001,AGE_004,F, 228 
2020-10-25,USR_001,AGE_004,M, 258 
2020-10-25,USR_001,AGE_005,F, 106 
2020-10-25,USR_001,AGE_005,M, 96 
2020-10-25,USR_001,AGE_006,F, 7 
2020-10-25,USR_001,AGE_006,M, 28 
2020-10-25,USR_001,AGE_007,F, 2 
2020-10-25,USR_001,AGE_007,M, 1 
2020-10-25,USR_001,AGE_008,," 3,052 "
2020-10-25,USR_001,AGE_008,M, 1 
2020-10-26,USR_001,AGE_001,F, 124 
2020-10-26,USR_001,AGE_001,M, 120 
2020-10-26,USR_001,AGE_002,F, 348 
2020-10-26,USR_001,AGE_002,M, 343 
2020-10-26,USR_001,AGE_003,F, 154 
2020-10-26,USR_001,AGE_003,M, 165 
2020-10-26,USR_001,AGE_004,F, 108 
2020-10-26,USR_001,AGE_004,M, 100 
2020-10-26,USR_001,AGE_005,F, 54 
2020-10-26,USR_001,AGE_005,M, 49 
2020-10-26,USR_001,AGE_006,F, 10 
2020-10-26,USR_001,AGE_006,M, 15 
2020-10-26,USR_001,AGE_007,F, 1 
2020-10-26,USR_001,AGE_007,M, 3 
2020-10-26,USR_001,AGE_008,," 2,776 "
2020-10-26,USR_001,AGE_008,F, 1 
2020-10-27,USR_001,AGE_001,F, 119 
2020-10-27,USR_001,AGE_001,M, 110 
2020-10-27,USR_001,AGE_002,F, 384 
2020-10-27,USR_001,AGE_002,M, 335 
2020-10-27,USR_001,AGE_003,F, 160 
2020-10-27,USR_001,AGE_003,M, 167 
2020-10-27,USR_001,AGE_004,F, 91 
2020-10-27,USR_001,AGE_004,M, 116 
2020-10-27,USR_001,AGE_005,F, 50 
2020-10-27,USR_001,AGE_005,M, 59 
2020-10-27,USR_001,AGE_006,F, 10 
2020-10-27,USR_001,AGE_006,M, 19 
2020-10-27,USR_001,AGE_007,F, 1 
2020-10-27,USR_001,AGE_007,M, 1 
2020-10-27,USR_001,AGE_008,," 2,261 "
2020-10-27,USR_001,AGE_008,F, 1 
2020-10-28,USR_001,AGE_001,F, 107 
2020-10-28,USR_001,AGE_001,M, 119 
2020-10-28,USR_001,AGE_002,F, 324 
2020-10-28,USR_001,AGE_002,M, 336 
2020-10-28,USR_001,AGE_003,F, 136 
2020-10-28,USR_001,AGE_003,M, 174 
2020-10-28,USR_001,AGE_004,F, 102 
2020-10-28,USR_001,AGE_004,M, 113 
2020-10-28,USR_001,AGE_005,F, 49 
2020-10-28,USR_001,AGE_005,M, 66 
2020-10-28,USR_001,AGE_006,F, 11 
2020-10-28,USR_001,AGE_006,M, 18 
2020-10-28,USR_001,AGE_007,F, 2 
2020-10-28,USR_001,AGE_007,M, 1 
2020-10-28,USR_001,AGE_008,," 2,069 "
2020-10-29,USR_001,AGE_001,F, 94 
2020-10-29,USR_001,AGE_001,M, 117 
2020-10-29,USR_001,AGE_002,F, 283 
2020-10-29,USR_001,AGE_002,M, 295 
2020-10-29,USR_001,AGE_003,F, 119 
2020-10-29,USR_001,AGE_003,M, 161 
2020-10-29,USR_001,AGE_004,F, 93 
2020-10-29,USR_001,AGE_004,M, 92 
2020-10-29,USR_001,AGE_005,F, 48 
2020-10-29,USR_001,AGE_005,M, 46 
2020-10-29,USR_001,AGE_006,F, 13 
2020-10-29,USR_001,AGE_006,M, 26 
2020-10-29,USR_001,AGE_007,F, 1 
2020-10-29,USR_001,AGE_007,M, 3 
2020-10-29,USR_001,AGE_008,," 1,626 "
2020-10-30,USR_001,AGE_001,F, 147 
2020-10-30,USR_001,AGE_001,M, 162 
2020-10-30,USR_001,AGE_002,F, 414 
2020-10-30,USR_001,AGE_002,M, 414 
2020-10-30,USR_001,AGE_003,F, 180 
2020-10-30,USR_001,AGE_003,M, 183 
2020-10-30,USR_001,AGE_004,F, 110 
2020-10-30,USR_001,AGE_004,M, 139 
2020-10-30,USR_001,AGE_005,F, 55 
2020-10-30,USR_001,AGE_005,M, 65 
2020-10-30,USR_001,AGE_006,F, 10 
2020-10-30,USR_001,AGE_006,M, 28 
2020-10-30,USR_001,AGE_007,M, 1 
2020-10-30,USR_001,AGE_008,," 1,845 "
2020-10-30,USR_001,AGE_008,F, 1 
2020-10-30,USR_001,AGE_008,M, 1 
2020-10-31,USR_001,AGE_001,F, 251 
2020-10-31,USR_001,AGE_001,M, 243 
2020-10-31,USR_001,AGE_002,F, 711 
2020-10-31,USR_001,AGE_002,M, 744 
2020-10-31,USR_001,AGE_003,F, 294 
2020-10-31,USR_001,AGE_003,M, 356 
2020-10-31,USR_001,AGE_004,F, 250 
2020-10-31,USR_001,AGE_004,M, 249 
2020-10-31,USR_001,AGE_005,F, 75 
2020-10-31,USR_001,AGE_005,M, 106 
2020-10-31,USR_001,AGE_006,F, 19 
2020-10-31,USR_001,AGE_006,M, 26 
2020-10-31,USR_001,AGE_007,F, 4 
2020-10-31,USR_001,AGE_007,M, 7 
2020-10-31,USR_001,AGE_008,," 2,109 "
2020-10-31,USR_001,AGE_008,F, 1 
2020-10-31,USR_001,AGE_008,M, 1 
